Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,51,7,D3,53,984,1,0
2,12,13,L2,43,939,0,0
2,51,8,E3,20,768,4,0
2,8,5,B3,60,1508,3,0
2,10,5,B2,4,1208,6,0
2,53,22,U3,52,1428,3,0
2,51,22,U1,50,1148,5,0
2,8,5,B2,4,1415,4,0
2,1,5,B2,21,1351,6,0
2,8,8,E1,8,984,5,0
2,8,7,D3,18,1183,6,0
2,12,8,E3,20,1496,4,0
2,53,22,U3,50,567,0,0
2,53,8,E1,8,95,6,0
2,1,19,R2,12,1244,4,0
2,12,5,B2,21,848,0,0
2,53,19,R2,38,191,0,0
2,8,7,D2,53,191,4,0
2,8,8,E3,20,1902,6,0
2,53,18,Q2,47,1902,5,0
2,12,18,Q2,47,2008,6,0
2,12,5,B3,21,204,4,0
2,53,13,L2,43,1399,5,0
1,29,12,K3,16,1630,6,0
2,53,18,Q3,47,1753,5,0
2,44,12,K3,11,1361,0,0
2,53,5,B1,4,1699,5,0
2,53,19,R2,38,2008,5,0
2,53,13,L2,43,1550,5,0
2,51,7,D2,53,1191,4,0
2,8,7,D2,47,1884,4,0
2,8,7,D3,53,1391,5,0
2,8,7,D2,53,121,6,0
2,8,22,U1,50,1191,5,0
2,53,24,W2,2,1806,4,0
2,8,22,U1,50,2008,5,0
2,53,5,B1,4,1699,5,0
2,53,22,U3,50,95,6,0
2,53,5,B1,4,1041,6,0
2,53,22,U3,52,781,6,0
2,53,19,R2,38,296,5,0
2,8,8,E1,8,686,5,0
2,53,13,L2,43,823,5,0
2,8,8,E1,8,1339,5,0
2,8,8,E1,8,1615,4,0
2,8,8,E1,8,170,5,0
2,8,5,B2,44,1806,3,0
2,8,7,D3,53,984,4,0
2,46,5,B1,4,898,5,0
2,53,5,B1,4,1724,3,0
2,46,5,B1,4,898,5,0
2,53,18,Q3,47,1327,3,0
2,12,13,L2,43,877,5,0
2,33,18,Q2,47,1244,1,0
2,54,18,Q2,47,939,2,0
2,53,18,Q2,47,939,2,0
2,54,5,B3,60,56,4,0
2,33,5,B3,60,56,4,0
2,54,22,U1,58,0,4,0
1,47,8,E3,20,905,4,0
1,29,24,W2,1,794,0,0
1,0,22,U2,58,778,0,0
2,12,22,U3,50,274,0,0
2,8,22,U3,50,274,0,0
3,55,8,E3,20,370,0,0
1,47,5,B2,4,276,0,0
2,8,12,K3,11,2081,6,0
1,29,19,R2,38,1897,6,0
2,46,13,L2,43,587,6,0
2,8,18,Q2,47,1244,6,0
1,47,15,N2,6,1312,6,0
2,46,13,L2,43,1657,3,0
1,29,12,K3,11,1593,5,0
2,8,24,W2,1,789,4,0
2,8,5,B2,44,987,3,0
2,58,8,E3,8,0,6,0
2,1,5,B2,4,1089,3,0
2,1,22,U3,50,1676,2,0
2,53,5,B3,60,1753,1,0
2,12,7,D2,47,100,3,0
2,12,24,W2,1,1428,2,0
2,8,5,B3,60,1482,2,0
2,8,18,Q2,47,1818,2,0
2,26,8,E1,8,1606,3,0
2,54,18,Q2,47,586,1,0
2,51,22,U2,58,158,5,0
2,54,8,E1,8,1339,2,0
2,1,22,U1,58,2105,0,0
2,54,22,U3,52,204,6,0
2,8,13,L2,43,982,6,0
2,12,5,B1,4,1606,4,0
2,54,13,L2,43,1199,6,0
2,10,5,B1,4,1606,6,0
2,1,5,B2,4,1339,2,0
2,8,8,E1,8,1902,5,0
2,54,24,W2,25,191,6,0
1,0,15,N2,43,919,6,0
2,1,7,D3,18,984,4,0
2,54,5,B1,4,95,4,0
2,54,5,B1,4,1428,0,0
2,46,13,L2,43,1002,3,0
2,53,19,R2,38,276,5,0
2,54,5,B2,4,438,4,0
2,8,13,L2,43,276,3,0
2,1,22,U3,52,1165,2,0
2,53,22,U1,50,95,4,0
2,53,18,Q2,47,1615,3,0
2,54,5,B2,4,1806,3,0
2,53,7,D2,53,354,4,0
2,12,5,B2,21,1896,3,0
2,53,5,B1,4,95,4,0
2,1,22,U1,52,1478,3,0
2,53,5,B1,4,0,3,0
2,51,13,L2,50,1406,3,0
2,51,24,W2,42,1428,3,0
2,8,8,E1,8,1537,3,0
2,53,18,Q2,47,1806,2,0
2,12,22,U2,58,823,2,0
2,53,5,B2,21,1806,2,0
2,8,8,E1,8,661,3,0
2,53,13,L2,43,276,3,0
2,8,13,L2,43,276,3,0
2,8,22,U1,58,1100,3,0
2,8,24,W2,2,0,2,0
2,53,22,U2,58,1658,2,0
2,53,5,B2,44,2008,2,0
2,53,22,U2,58,2061,2,0
2,26,5,B2,44,598,3,0
2,1,22,U1,50,1606,2,0
2,1,22,U1,50,2061,2,0
2,8,22,U3,52,1733,2,0
2,53,5,B1,4,95,3,0
2,53,15,N2,6,1539,2,0
2,12,5,B1,4,211,2,0
2,12,22,U2,58,1606,2,0
2,12,18,Q3,47,586,2,0
2,53,22,U1,58,95,2,0
2,51,7,D3,18,1339,0,0
2,1,5,B2,44,1339,2,0
2,8,22,U1,50,642,2,0
2,53,18,Q2,47,1955,1,0
2,8,7,D2,53,1861,0,0
2,8,24,W2,1,191,2,0
2,8,5,B1,4,396,2,0
2,1,5,B2,4,1733,1,0
2,53,22,U2,58,1902,0,0
2,53,15,N2,43,103,1,0
2,8,12,K3,11,1372,0,0
2,53,15,N2,43,231,1,0
2,51,7,D2,53,2126,0,0
2,53,5,B3,60,1676,0,0
2,53,5,B1,4,1902,0,0
2,1,18,Q2,47,1358,0,0
1,0,8,E1,8,0,2,0
2,54,13,L2,43,1522,4,0
2,33,13,L2,43,1522,4,0
2,33,7,D2,53,1428,6,0
2,54,7,D2,53,1531,6,0
2,33,19,R2,12,4,3,0
1,29,8,E1,8,1958,1,0
1,47,8,E1,8,1733,1,0
1,0,7,D2,53,1339,1,0
1,0,5,B3,21,1270,1,0
1,0,24,W2,1,1130,1,0
2,33,22,U2,58,1806,0,0
2,44,22,U3,50,1634,5,0
2,1,5,B2,21,34,1,0
2,12,13,L2,43,0,2,0
2,12,18,Q2,47,625,1,0
2,8,22,U1,58,354,0,0
2,8,5,B2,4,0,1,0
2,8,8,E1,8,1478,0,0
2,8,13,L2,43,115,1,0
1,47,12,K3,46,2099,0,0
2,54,18,Q3,47,823,1,0
1,47,12,K3,11,16,1,0
3,13,19,R2,38,1603,0,0
3,14,12,K3,11,1955,0,0
3,15,12,K3,11,1955,0,0
2,1,5,B3,60,1902,0,0
2,33,5,B1,4,1076,3,0
1,0,7,D2,53,1642,0,0
2,8,18,Q2,47,1595,0,0
2,8,22,U1,58,378,0,0
2,51,15,N2,43,1177,0,0
1,47,15,N2,43,1177,0,0
2,12,15,N2,43,1177,0,0
2,44,5,B1,4,958,0,0
2,8,22,U2,58,508,0,0
2,53,7,D2,47,7,0,0
2,54,18,Q2,47,1381,6,0
1,0,22,U1,58,1861,6,0
2,8,18,Q2,47,0,2,0
2,8,8,E3,20,1312,3,0
2,51,5,B1,4,1522,5,0
2,1,12,K3,11,1818,1,0
2,1,22,U3,52,1478,0,0
2,10,18,Q2,47,1902,3,0
2,8,7,D3,53,1399,1,0
2,8,18,Q2,47,1531,1,0
2,51,7,D2,47,1067,4,0
2,1,5,B2,4,1076,2,0
2,26,7,D2,47,823,2,0
2,44,19,R2,38,1420,1,0
2,26,5,B1,4,0,0,0
2,1,22,U2,58,741,5,0
2,8,8,E1,8,0,0,0
2,1,7,D2,47,1365,4,0
2,1,22,U1,58,781,2,0
2,1,8,E3,20,560,3,0
2,1,18,Q3,53,1522,3,0
2,8,7,D3,18,270,3,0
2,12,22,U2,58,1428,4,0
2,8,18,Q2,47,1107,5,0
2,8,22,U1,52,1435,3,0
2,53,5,B2,21,2008,5,0
2,1,5,B3,60,143,4,0
2,1,5,B3,60,1492,0,0
2,12,22,U2,58,1428,2,0
2,33,7,D2,47,1157,5,0
2,8,5,B3,60,508,3,0
3,15,24,W2,1,529,1,0
